ofcom_field,ofcom_threshold,dietcoach_minor_category,recommendation_en,recommendation_de,explanation_en,explanation_de
energy,5,Bars,Reduce energy from bars,Energieaufnahme aus Riegeln reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
energy,3,Cream,Reduce energy from cream,Energieaufnahme aus Rahm reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
energy,2,Fast food,Reduce energy from fast food,Energieaufnahme aus Fastfood reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
energy,2,Ice cream and puddings,Reduce energy from ice cream and puddings,Energieaufnahme aus Glacé und Pudding reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
energy,3,Salty snacks,Reduce energy from salty snacks,Energieaufnahme aus salzigen Snacks reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
energy,4,Sauces,Reduce energy from sauces ,Energieaufnahme aus Saucen reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
energy,5,Sweet drinks,Reduce energy from sweet drinks,Energieaufnahme aus süssen Getränken reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
energy,-1,Sweet snacks,Reduce energy from sweet snacks,Energieaufnahme aus süssen Snacks reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
energy,2,Vegetarian alternatives,Reduce energy from vegetarian alternatives,Energieaufnahme aus vegetarischen Alternativprodukten reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
energy ,-1,Cheese products,Reduce energy from cheese products,Energieaufnahme aus Käse und Käseprodukten reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
